,metasub_sub_saharan_africa,metasub_north_america,metasub_south_america,metasub_europe,metasub_oceania,metasub_east_asia,metasub_middle_east
Mycoplasma pulmonis,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Mycoplasma penetrans,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Mycoplasma arginini,Rarely Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Mycoplasma fermentans,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Mycoplasma synoviae,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Mycoplasma gallisepticum,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Mycoplasma pneumoniae,Never Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Mycoplasma hyorhinis,Never Observed,Never Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Mycoplasma canadense,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed
Mycoplasma genitalium,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed
Mycoplasma bovigenitalium,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed,Never Observed
Ureaplasma parvum,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Ureaplasma urealyticum,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Candidatus Izimaplasma sp. HR1,Rarely Observed,Never Observed,Rarely Observed,Never Observed,Never Observed,Never Observed,Never Observed
Deinococcus gobiensis,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Deinococcus radiodurans,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Deinococcus swuensis,Fairly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Deinococcus geothermalis,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Deinococcus soli Cha et al. 2016,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Deinococcus actinosclerus,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Deinococcus maricopensis,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Deinococcus deserti,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Deinococcus proteolyticus,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Deinococcus peraridilitoris,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Deinococcus puniceus,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed
Truepera radiovictrix,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Thermus thermophilus,Rarely Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed
Thermus scotoductus,Rarely Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed
Thermus brockianus,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Thermus sp. CCB_US3_UF1,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Thermus aquaticus,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Thermus oshimai,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Thermus parvatiensis,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Meiothermus silvanus,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Meiothermus ruber,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed
Oceanithermus profundus,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed
Marinithermus hydrothermalis,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
Dehalococcoides mccartyi,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Dehalogenimonas formicexedens,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Dehalogenimonas lykanthroporepellens,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Roseiflexus sp. RS-1,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Roseiflexus castenholzii,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Chloroflexus aggregans,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Candidatus Promineofilum breve,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed
Sphaerobacter thermophilus,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Fairly Observed
Thermomicrobium roseum,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Caldilinea aerophila,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
Anaerolinea thermophila,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Brevefilum fermentans,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Anaerolineaceae bacterium oral taxon 439,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Fimbriimonas ginsengisoli,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed
Thermobaculum terrenum,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Chryseobacterium sp. IHB B 17019,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed
Chryseobacterium taklimakanense,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed
Chryseobacterium indologenes,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed
Chryseobacterium camelliae,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed
Chryseobacterium glaciei,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed
Chryseobacterium sp. StRB126,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed
Chryseobacterium sp. T16E-39,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed
Chryseobacterium gallinarum,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed
Chryseobacterium piperi,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed
Elizabethkingia anophelis,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed
Elizabethkingia meningoseptica,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed,Rarely Observed
Elizabethkingia genomosp. 3,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed
Elizabethkingia genomosp. 4,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Elizabethkingia miricola,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Flavobacterium johnsoniae,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed
Flavobacterium commune,Rarely Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed
Flavobacterium psychrophilum,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Flavobacterium gilvum,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Flavobacterium columnare,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Flavobacterium crassostreae,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Flavobacterium indicum,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed,Fairly Observed
Flavobacterium branchiophilum,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Capnocytophaga gingivalis,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Mostly Observed
Capnocytophaga sputigena,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Rarely Observed,Mostly Observed,Mostly Observed
Capnocytophaga sp. ChDC OS43,Rarely Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Capnocytophaga leadbetteri,Fairly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Capnocytophaga ochracea,Rarely Observed,Rarely Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Capnocytophaga sp. oral taxon 323,Rarely Observed,Rarely Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Capnocytophaga cynodegmi,Never Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Capnocytophaga stomatis,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Capnocytophaga canimorsus,Never Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Capnocytophaga haemolytica,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Capnocytophaga sp. H2931,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Capnocytophaga sp. H4358,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Flavobacteriaceae bacterium 3519-10,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed
Flavobacteriaceae bacterium UJ101,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Myroides odoratimimus,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Fairly Observed
Myroides profundi,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Myroides sp. A21,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Myroides sp. ZB35,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Riemerella anatipestifer,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed,Rarely Observed
Tenacibaculum sp. LPB0136,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Tenacibaculum jejuense,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Tenacibaculum maritimum,Never Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Tenacibaculum dicentrarchi,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Polaribacter vadi,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Polaribacter reichenbachii,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Polaribacter sp. BM10,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Polaribacter sp. ALD11,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Polaribacter sp. MED152,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Seonamhaeicola sp. S2-3,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Rarely Observed
Salegentibacter sp. T436,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed,Fairly Observed
Weeksella virosa,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Fairly Observed
Cellulophaga baltica,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Cellulophaga lytica,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Cellulophaga algicola,Never Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Lutibacter sp. LPB0138,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Lutibacter profundi,Never Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Gramella flava,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Gramella forsetii,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Gramella sp. LPB0144,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Zunongwangia profunda,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Ornithobacterium rhinotracheale,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Formosa sp. Hel1_33_131,Never Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Formosa sp. Hel3_A1_48,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Arenibacter algicola,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Maribacter sp. T28,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Maribacter sp. 1_2014MBL_MicDiv,Never Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Maribacter cobaltidurans,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Maribacter sp. HTCC2170,Never Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Lacinutrix sp. Bg11-31,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Lacinutrix venerupis,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
