,metasub_sub_saharan_africa,metasub_north_america,metasub_south_america,metasub_europe,metasub_oceania,metasub_east_asia,metasub_middle_east
Xenorhabdus poinarii,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Xenorhabdus hominickii,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Xenorhabdus nematophila,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Providencia stuartii,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Providencia alcalifaciens,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Providencia rettgeri,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Photorhabdus asymbiotica,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Photorhabdus luminescens,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Photorhabdus temperata,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Proteus mirabilis,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed
Proteus vulgaris,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Rarely Observed
Arsenophonus symbiont of Lipoptena fortisetosa,Never Observed,Never Observed,Never Observed,Rarely Observed,Never Observed,Rarely Observed,Never Observed
Plesiomonas shigelloides,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed
Pragia fontium,Rarely Observed,Rarely Observed,Fairly Observed,Rarely Observed,Rarely Observed,Rarely Observed,Never Observed
Acinetobacter schindleri,Always Observed,Mostly Observed,Always Observed,Mostly Observed,Always Observed,Mostly Observed,Always Observed
Acinetobacter sp. LoGeW2-3,Always Observed,Fairly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Mostly Observed
Acinetobacter sp. TTH0-4,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed
Acinetobacter johnsonii,Always Observed,Mostly Observed,Always Observed,Mostly Observed,Always Observed,Mostly Observed,Always Observed
Acinetobacter sp. NCu2D-2,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed
Acinetobacter sp. TGL-Y2,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed
Acinetobacter equi,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed
Acinetobacter bereziniae,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Acinetobacter junii,Always Observed,Fairly Observed,Always Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed
Acinetobacter haemolyticus,Mostly Observed,Fairly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed
Acinetobacter soli,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Mostly Observed,Mostly Observed
Acinetobacter sp. ADP1,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed
Acinetobacter larvae,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed
Acinetobacter oleivorans,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed
Acinetobacter baumannii,Always Observed,Mostly Observed,Always Observed,Mostly Observed,Always Observed,Mostly Observed,Mostly Observed
Acinetobacter pittii,Mostly Observed,Mostly Observed,Always Observed,Mostly Observed,Always Observed,Mostly Observed,Always Observed
Acinetobacter nosocomialis,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed,Mostly Observed
Acinetobacter calcoaceticus,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Mostly Observed
Acinetobacter lactucae,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Mostly Observed
Psychrobacter sp. PRwf-1,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed,Fairly Observed
Psychrobacter alimentarius,Fairly Observed,Mostly Observed,Mostly Observed,Fairly Observed,Mostly Observed,Fairly Observed,Fairly Observed
Psychrobacter sp. G,Rarely Observed,Mostly Observed,Fairly Observed,Fairly Observed,Rarely Observed,Fairly Observed,Rarely Observed
